BGP Mux,Peer organization,Peer ASN,Peer IP address,IP version,Short description,Transit,Route Server,Session ID
amsterdam01,Lepida,31638,80.249.211.74,IPv4,,False,False,291
amsterdam01,Gyron,29017,80.249.209.84,IPv4,,False,False,293
amsterdam01,Gyron,29017,2001:7f8:1::a502:9017:1,IPv6,,False,False,294
amsterdam01,i3D,49544,80.249.208.162,IPv4,,False,False,295
amsterdam01,i3D,49544,2001:7f8:1::a504:9544:1,IPv6,,False,False,296
amsterdam01,Spotify,8403,80.249.212.62,IPv4,,False,False,297
amsterdam01,Spotify,8403,2001:7f8:1::a500:8403:1,IPv6,,False,False,298
amsterdam01,EDPnet,9031,80.249.208.180,IPv4,,False,False,299
amsterdam01,EDPnet,9031,2001:7f8:1::a500:9031:1,IPv6,,False,False,300
amsterdam01,Global NOC,25220,2001:7f8:1::a502:5220:1,IPv6,,False,False,302
amsterdam01,Global NOC,25220,80.249.210.58,IPv4,,False,False,301
amsterdam01,CESNET z.s.p.o.,2852,80.249.209.106,IPv4,,False,False,305
amsterdam01,CESNET z.s.p.o.,2852,2001:7f8:1::a500:2852:1,IPv6,,False,False,306
amsterdam01,RCS RDS,8708,80.249.208.51,IPv4,,False,False,307
amsterdam01,RCS RDS,8708,2001:7f8:1::a500:8708:1,IPv6,,False,False,308
amsterdam01,EDX Network,198435,80.249.211.136,IPv4,,False,False,309
amsterdam01,EDX Network,198435,2001:7f8:1:0:a500:19:8435:1,IPv6,,False,False,310
amsterdam01,Open Carrier,41692,2001:7f8:1::a504:1692:1,IPv6,,False,False,89
amsterdam01,Computerline,41913,2001:7f8:1::a504:1913:1,IPv6,,False,False,90
amsterdam01,Mail.ru LLC,47764,2001:7f8:1::a504:7764:1,IPv6,,False,False,91
amsterdam01,VeriSign,7342,2001:7f8:1::a500:7342:1,IPv6,,False,False,74
amsterdam01,Microsoft,8075,2001:7f8:1::a500:8075:1,IPv6,,False,False,75
amsterdam01,"TU Darmstadt, Hochschulrechenzentrum",8365,2001:7f8:1::a500:8365:1,IPv6,,False,False,76
amsterdam01,ScanPlus,12399,80.249.209.99,IPv4,,False,False,264
amsterdam01,ScanPlus,12399,2001:7f8:1::a501:2399:1,IPv6,,False,False,265
amsterdam01,eBay Classifieds Group,41552,80.249.209.112,IPv4,,False,False,266
amsterdam01,eBay Classifieds Group,41552,2001:7f8:1::a504:1552:2,IPv6,,False,False,267
amsterdam01,Retn Ltd.,9002,2001:7f8:1::a500:9002:1,IPv6,,False,False,77
amsterdam01,Seeweb s.r.l.,12637,2001:7f8:1::a501:2637:1,IPv6,,False,False,78
amsterdam01,Yahoo! Europe Ltd,10310,2001:7f8:1::a501:310:1,IPv6,,False,False,79
amsterdam01,Yahoo! Europe Ltd,10310,2001:7f8:1::a501:310:2,IPv6,,False,False,80
amsterdam01,Linode,63949,80.249.212.136,IPv4,,False,False,272
amsterdam01,Linode,63949,2001:7f8:1::a506:3949:1,IPv6,,False,False,273
amsterdam01,InterBox Internet,16298,2001:7f8:1::a501:6298:1,IPv6,,False,False,81
amsterdam01,New Media Express,38001,80.249.213.132,IPv4,,False,False,275
amsterdam01,New Media Express,38001,2001:7f8:1::a503:8001:1,IPv6,,False,False,276
amsterdam01,Open Peering Initiative,20562,2001:7f8:1::a502:562:1,IPv6,,False,False,82
amsterdam01,Open Peering Initiative,20562,2001:7f8:1::a502:562:2,IPv6,,False,False,83
amsterdam01,Dial Telecom,29208,2001:7f8:1::a502:9208:1,IPv6,,False,False,84
amsterdam01,Akamai,20940,2001:7f8:1::a502:940:1,IPv6,,False,False,85
amsterdam01,Angola Cables,37468,80.249.213.48,IPv4,,False,False,281
amsterdam01,Angola Cables,37468,2001:7f8:1::a503:7468:1,IPv6,,False,False,282
amsterdam01,VNet.eu,29405,80.249.212.66,IPv4,,False,False,283
amsterdam01,VNet.eu,29405,2001:7f8:1::a502:9405:1,IPv6,,False,False,284
amsterdam01,Akamai,20940,2001:7f8:1::a502:940:2,IPv6,,False,False,86
amsterdam01,E4A,34695,2001:7f8:1::a503:4695:1,IPv6,,False,False,87
amsterdam01,Seacom ltd,37100,2001:7f8:1::a503:7100:1,IPv6,,False,False,88
amsterdam01,True Internet,38082,80.249.210.254,IPv4,,False,False,289
amsterdam01,True Internet,38082,2001:7f8:1::a503:8082:1,IPv6,,False,False,290
amsterdam01,Lepida,31638,2001:7f8:1::a503:1638:1,IPv6,,False,False,292
amsterdam01,Hostopia,9115,2001:7f8:1::a500:9115:1,IPv6,,False,False,317
amsterdam01,Automattic,2635,80.249.211.212,IPv4,,False,False,318
amsterdam01,Automattic,2635,2001:7f8:1::a500:2635:1,IPv6,,False,False,319
amsterdam01,Mail.ru LLC,47764,2001:7f8:1::a504:7764:2,IPv6,,False,False,92
amsterdam01,Mainsoft S.p.A.,51185,2001:7f8:1::a505:1185:1,IPv6,,False,False,93
amsterdam01,XS4ALL,3265,2001:7f8:1::a500:3265:1,IPv6,,False,False,97
amsterdam01,XS4ALL,3265,2001:7f8:1::a500:3265:2,IPv6,,False,False,98
